epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.36348,2.39691,4.47955,1.82733,0.14536,0.43387,0.05177,0.03069,1.4222,4.86947,1.14805,9.6e-05,9.6e-05,9.6e-05
2,10.4047,2.03054,3.14154,1.59437,0.11395,0.27879,0.08722,0.05193,1.57824,4.91195,1.29013,0.000194706,0.000194706,0.000194706
3,15.0491,1.86563,2.70835,1.53642,0.11336,0.25595,0.14298,0.07788,1.53174,2.92592,1.22568,0.000292093,0.000292093,0.000292093
4,19.7234,1.82649,2.52992,1.53038,0.09338,0.20826,0.11664,0.05572,1.72617,3.45452,1.36218,0.000388159,0.000388159,0.000388159
5,24.2035,1.79824,2.3342,1.48529,0.27587,0.29971,0.21869,0.11809,1.50666,2.58708,1.19377,0.00038944,0.00038944,0.00038944
6,28.8006,1.76096,2.24101,1.49103,0.21658,0.36392,0.25497,0.14129,1.53783,2.32984,1.19528,0.0003868,0.0003868,0.0003868
7,33.3152,1.79253,2.28818,1.48557,0.24657,0.38285,0.24092,0.13248,1.58128,2.37826,1.22165,0.00038416,0.00038416,0.00038416
8,37.839,1.71422,2.12838,1.45878,0.26876,0.24733,0.25046,0.11796,1.71267,2.32218,1.25601,0.00038152,0.00038152,0.00038152
9,42.3511,1.71428,2.04284,1.44522,0.32004,0.44551,0.33845,0.18894,1.65551,1.98107,1.28307,0.00037888,0.00037888,0.00037888
10,46.9169,1.69484,2.03162,1.44173,0.32548,0.41791,0.31809,0.17634,1.51733,2.28587,1.19684,0.00037624,0.00037624,0.00037624
11,51.4252,1.69718,1.93067,1.41854,0.35758,0.53169,0.40194,0.22847,1.50889,1.76182,1.1925,0.0003736,0.0003736,0.0003736
12,56.017,1.64667,1.91246,1.40797,0.32102,0.42534,0.34879,0.1976,1.46715,2.09635,1.18437,0.00037096,0.00037096,0.00037096
13,60.5302,1.6248,1.90396,1.41897,0.36863,0.44657,0.3858,0.22289,1.50711,1.8614,1.18444,0.00036832,0.00036832,0.00036832
14,65.0654,1.62345,1.8709,1.41321,0.28625,0.37047,0.30608,0.17859,1.44847,2.32691,1.18741,0.00036568,0.00036568,0.00036568
15,69.5704,1.65794,1.85561,1.42109,0.35521,0.52854,0.40114,0.23098,1.51939,1.88279,1.1838,0.00036304,0.00036304,0.00036304
16,74.2189,1.6131,1.81666,1.38512,0.30184,0.43634,0.31797,0.18007,1.51679,2.07386,1.18676,0.0003604,0.0003604,0.0003604
17,78.7425,1.63849,1.84174,1.40025,0.35182,0.43681,0.38826,0.21723,1.51077,2.02052,1.19894,0.00035776,0.00035776,0.00035776
18,83.319,1.60955,1.76207,1.3582,0.37651,0.5254,0.42029,0.21993,1.70675,1.86334,1.25448,0.00035512,0.00035512,0.00035512
19,87.7781,1.58289,1.75837,1.3923,0.43452,0.43662,0.40529,0.23829,1.53811,1.8519,1.18951,0.00035248,0.00035248,0.00035248
20,92.484,1.59226,1.75101,1.36747,0.40847,0.58979,0.44691,0.27202,1.41714,1.68027,1.14391,0.00034984,0.00034984,0.00034984
21,97.1091,1.57578,1.65743,1.34495,0.2713,0.45727,0.33074,0.19847,1.44134,2.06442,1.13443,0.0003472,0.0003472,0.0003472
22,101.692,1.55572,1.68903,1.36717,0.41801,0.49679,0.39874,0.24565,1.48014,1.86785,1.16195,0.00034456,0.00034456,0.00034456
23,106.198,1.56546,1.68498,1.39087,0.40767,0.52551,0.47359,0.27128,1.50876,1.68757,1.1553,0.00034192,0.00034192,0.00034192
24,110.789,1.56776,1.71905,1.38267,0.37798,0.59358,0.43286,0.23047,1.64838,1.74573,1.23411,0.00033928,0.00033928,0.00033928
25,115.482,1.54207,1.66001,1.32107,0.42644,0.54753,0.45059,0.25984,1.56388,1.79635,1.22134,0.00033664,0.00033664,0.00033664
26,120.138,1.56885,1.61966,1.33955,0.42575,0.59383,0.49504,0.29758,1.42714,1.5953,1.14089,0.000334,0.000334,0.000334
27,124.716,1.52609,1.56252,1.32035,0.42186,0.63019,0.52246,0.30042,1.45266,1.5863,1.13179,0.00033136,0.00033136,0.00033136
28,129.327,1.51827,1.55359,1.33061,0.5128,0.6394,0.56426,0.33268,1.47404,1.45289,1.14824,0.00032872,0.00032872,0.00032872
29,133.838,1.50994,1.51096,1.29671,0.46657,0.61084,0.50016,0.29927,1.45693,1.61068,1.12195,0.00032608,0.00032608,0.00032608
30,138.387,1.48195,1.54301,1.31219,0.46328,0.63799,0.57325,0.3336,1.44666,1.46882,1.13734,0.00032344,0.00032344,0.00032344
31,142.9,1.51817,1.53858,1.32731,0.53033,0.53216,0.55068,0.32075,1.47786,1.53614,1.15765,0.0003208,0.0003208,0.0003208
32,147.386,1.44294,1.49526,1.29758,0.46173,0.68382,0.50987,0.30014,1.44133,1.71018,1.15481,0.00031816,0.00031816,0.00031816
33,151.893,1.4547,1.48207,1.32221,0.45129,0.57442,0.52784,0.29801,1.54338,1.70754,1.20064,0.00031552,0.00031552,0.00031552
34,156.435,1.48816,1.48524,1.30942,0.59102,0.53544,0.58267,0.35872,1.40362,1.45255,1.14462,0.00031288,0.00031288,0.00031288
35,161.014,1.46078,1.41138,1.28642,0.36859,0.57684,0.46505,0.28725,1.38375,1.60616,1.12667,0.00031024,0.00031024,0.00031024
36,165.504,1.47969,1.54362,1.30032,0.47642,0.60063,0.5158,0.3061,1.42769,1.55418,1.1325,0.0003076,0.0003076,0.0003076
37,170.016,1.44999,1.42425,1.2714,0.32413,0.59013,0.35881,0.22009,1.41222,1.99694,1.15589,0.00030496,0.00030496,0.00030496
